timestamp,traffic,hour,day,is_weekend,is_peak_hour
2012-03-01 00:00:00,62.30503795721186,0,3,0,0
2012-03-01 00:05:00,62.3358158883521,0,3,0,0
2012-03-01 00:10:00,61.85814929836669,0,3,0,0
2012-03-01 00:15:00,0.0,0,3,0,0
2012-03-01 00:20:00,0.0,0,3,0,0
2012-03-01 00:25:00,61.759259259259245,0,3,0,0
2012-03-01 00:30:00,61.10705659075224,0,3,0,0
2012-03-01 00:35:00,61.04632505175984,0,3,0,0
2012-03-01 00:40:00,60.70729813664596,0,3,0,0
2012-03-01 00:45:00,60.70436507936508,0,3,0,0
2012-03-01 00:50:00,60.80683996626026,0,3,0,0
2012-03-01 00:55:00,60.7169887278583,0,3,0,0
2012-03-01 01:00:00,60.57367149758454,1,3,0,0
2012-03-01 01:05:00,60.49088451805845,1,3,0,0
2012-03-01 01:10:00,60.15553830227743,1,3,0,0
2012-03-01 01:15:00,60.55240203972084,1,3,0,0
2012-03-01 01:20:00,60.29042443064181,1,3,0,0
2012-03-01 01:25:00,60.62982133271986,1,3,0,0
2012-03-01 01:30:00,60.08782877079979,1,3,0,0
2012-03-01 01:35:00,59.62143432252128,1,3,0,0
2012-03-01 01:40:00,59.15743616287095,1,3,0,0
2012-03-01 01:45:00,58.79106280193237,1,3,0,0
2012-03-01 01:50:00,59.26280576642893,1,3,0,0
2012-03-01 01:55:00,58.998964803312624,1,3,0,0
2012-03-01 02:00:00,58.84420289855072,2,3,0,0
2012-03-01 02:05:00,59.52533356337703,2,3,0,0
2012-03-01 02:10:00,60.6831531324285,2,3,0,0
2012-03-01 02:15:00,61.28660570508396,2,3,0,0
2012-03-01 02:20:00,60.84551606471895,2,3,0,0
2012-03-01 02:25:00,60.002461467678856,2,3,0,0
2012-03-01 02:30:00,59.3622325741891,2,3,0,0
2012-03-01 02:35:00,58.485545586994846,2,3,0,0
2012-03-01 02:40:00,59.02210336630623,2,3,0,0
2012-03-01 02:45:00,59.075914423740485,2,3,0,0
2012-03-01 02:50:00,58.67488114408404,2,3,0,0
2012-03-01 02:55:00,58.51429146537843,2,3,0,0
2012-03-01 03:00:00,57.89846445824707,3,3,0,0
2012-03-01 03:05:00,57.97498274672188,3,3,0,0
2012-03-01 03:10:00,57.043156199677966,3,3,0,0
2012-03-01 03:15:00,56.21523464458247,3,3,0,0
2012-03-01 03:20:00,56.11735104669887,3,3,0,0
2012-03-01 03:25:00,56.8118530020704,3,3,0,0
2012-03-01 03:30:00,57.10662525879917,3,3,0,0
2012-03-01 03:35:00,57.98658078368223,3,3,0,0
2012-03-01 03:40:00,58.69151138716356,3,3,0,0
2012-03-01 03:45:00,58.07930756843799,3,3,0,0
2012-03-01 03:50:00,57.65674603174604,3,3,0,0
2012-03-01 03:55:00,58.39647074610844,3,3,0,0
2012-03-01 04:00:00,57.70700483091784,4,3,0,0
2012-03-01 04:05:00,57.52415458937198,4,3,0,0
2012-03-01 04:10:00,57.48337359098228,4,3,0,0
2012-03-01 04:15:00,58.16614906832298,4,3,0,0
2012-03-01 04:20:00,59.060731538992414,4,3,0,0
